date,mkt_excess,smb,hml,rf
2024-10-31,-0.01,-0.009899999999999999,0.0086,0.0039000000000000003
2024-11-30,0.0649,0.0446,0.0016,0.004
2024-12-31,-0.0317,-0.0271,-0.03,0.0037
2025-01-31,0.027999999999999997,-0.0197,0.0163,0.0037
2025-02-28,-0.024399999999999998,-0.0579,0.049100000000000005,0.0033
2025-03-31,-0.0639,-0.0276,0.028999999999999998,0.0034000000000000002
2025-04-30,-0.0084,-0.0059,-0.0341,0.0034999999999999996
2025-05-31,0.060599999999999994,0.006999999999999999,-0.0288,0.0038
2025-06-30,0.048600000000000004,0.0083,-0.0161,0.0034000000000000002
2025-07-31,0.019799999999999998,0.0027,-0.0127,0.0034000000000000002
2025-08-31,0.0184,0.0387,0.044199999999999996,0.0038
2025-09-30,0.0339,-0.018500000000000003,-0.0105,0.0033
2025-10-31,0.0196,-0.0055000000000000005,-0.031,0.0037
2025-11-30,-0.0013,0.0038,0.037599999999999995,0.003
2025-12-31,-0.0036,-0.0106,0.0242,0.0034000000000000002
2026-01-31,0.0102,0.022000000000000002,0.037200000000000004,0.003
